,0 days 00:30:00,0 days 01:00:00,0 days 01:30:00,0 days 02:00:00,0 days 02:30:00,0 days 03:00:00,0 days 03:30:00,0 days 04:00:00,0 days 04:30:00,0 days 05:00:00,0 days 05:30:00,0 days 06:00:00,0 days 06:30:00,0 days 07:00:00,0 days 07:30:00,0 days 08:00:00,0 days 08:30:00,0 days 09:00:00,0 days 09:30:00,0 days 10:00:00,0 days 10:30:00,0 days 11:00:00,0 days 11:30:00,0 days 12:00:00,0 days 12:30:00,0 days 13:00:00,0 days 13:30:00,0 days 14:00:00,0 days 14:30:00,0 days 15:00:00,0 days 15:30:00,0 days 16:00:00,0 days 16:30:00,0 days 17:00:00,0 days 17:30:00,0 days 18:00:00,0 days 18:30:00,0 days 19:00:00,0 days 19:30:00,0 days 20:00:00,0 days 20:30:00,0 days 21:00:00,0 days 21:30:00,0 days 22:00:00,0 days 22:30:00,0 days 23:00:00,0 days 23:30:00,1 days 00:00:00,ahead_time
10,60383.52431885759,85377.87379881302,188391.16538781952,270389.26738492073,375761.99112378777,468840.86809541524,532321.4856184481,593411.0557073875,627418.2608189039,754766.6658855932,885229.5277342949,856573.4597161368,863845.9985827167,835681.7478620611,839309.1566650345,837072.5100926927,823719.245456822,829517.061205111,826440.1335610719,790660.7849604471,784582.7613021625,786617.29308892,797616.9410248399,804118.0611876216,816553.066395465,817276.5071534623,825486.8508781394,827030.778659546,828075.239793267,814274.4165508694,815660.8122260547,811334.1829143121,809847.9891592478,819427.6516539425,810848.2849729538,791402.4828007595,783496.511680492,776895.938058135,768671.8972274318,769696.4169335787,756287.5090171646,758078.0786296973,756111.0681353648,744946.7227294515,703630.9225249714,711857.4588914261,699237.6755884923,706819.6695155328,0 days 05:30:00
11,62559.4445950081,83333.81414586554,185499.04614519782,272830.13798343553,365607.96504628356,484872.9829879486,542281.442382864,603638.0092362848,640449.2252732505,746956.201165746,856573.4597161368,979217.4274772382,964633.8190364181,927424.1011251993,925625.065339788,919851.3358629594,914253.6662064668,922505.2270374494,914435.4955916189,867190.534436359,860187.8820564378,855896.1016475594,869595.3844834594,883668.418410788,896713.8310447922,897064.9107135071,907108.1767837629,905533.1431848881,909947.708779869,896474.8970350883,910715.3228657533,894883.6301900529,908052.1206854627,918387.9919260636,910409.1996361272,891874.4130209878,881579.2270934253,870097.0691616696,854750.375447747,846604.0885523241,838367.5119202071,831230.8319648086,832166.2521823231,817155.8433422345,772310.9733510604,767438.3329506719,750309.2853287117,765410.3954630198,0 days 06:00:00
12,61705.146992284936,81611.11855411665,170172.10348623837,259291.65477396443,366424.3513751508,482228.7130694026,549717.2621831016,597133.1481642908,627843.0801526993,744819.7718135925,863845.9985827167,964633.8190364181,1082001.3533198012,992224.6500388838,994533.2983868488,981724.5288071856,959632.217450514,980275.409721078,972068.8308541389,938490.9499525104,913710.6122794361,904971.3928219348,917796.5040571481,937641.2667319799,950368.3702137384,950436.1678560583,960971.8954292026,964717.8587432164,966916.3004339042,948368.0663324343,963268.0102433685,960177.4380218561,964520.7923555671,985414.3534239072,969245.9790898118,948638.0716296496,945113.9096805726,927746.6627961011,910212.2474981765,902336.6193230309,891589.6813157697,873886.6498625756,875341.5052565429,861659.9892908605,815910.8739268805,809366.7313504381,788094.0831249477,798694.8890002143,0 days 06:30:00
13,64199.59594784671,85188.47090447608,174095.96547265514,258836.67888197515,398266.8005807677,495970.56771843607,562655.0087424606,625765.3920031568,652159.1005209441,746253.2874728376,835681.7478620611,927424.1011251993,992224.6500388838,1174082.174692337,1079186.6564813014,1073729.398748496,1040216.0641835855,1058700.5511979137,1044988.5845395403,1006316.5023661836,980958.6779098085,985354.9363505855,990531.5464035273,1012525.6992664661,1034031.3664111292,1030176.0890473087,1032075.8383919487,1059647.5642604316,1072742.9323310193,1060718.6506121822,1065522.1403056146,1058541.353704779,1056898.538778191,1069324.5179890895,1060551.8363272634,1035771.7591869404,1031677.5564805119,1015694.1410686165,995164.8076612251,980589.9000904864,964961.2385436927,958452.7129613116,956725.2101018137,946499.0287474876,897069.6251003373,887755.6123308819,857628.9398580894,865235.0308272168,0 days 07:00:00
14,62806.80049765649,83941.60704605302,172474.03520347681,258002.759220464,355113.40509763226,480137.4270475028,532788.719254482,594335.2666795672,639792.3315683494,730787.7107362262,839309.1566650345,925625.065339788,994533.2983868488,1079186.6564813014,1177858.281384733,1119027.7794789248,1104549.764628745,1102625.8325941905,1081131.1527282253,1055382.779570911,1040047.2974347274,1027664.6345957477,1037659.903212853,1059822.0354784867,1067303.4356361488,1063410.2037891222,1065127.691280741,1093272.2551204592,1098348.253987466,1075906.2329915103,1080044.5940373077,1075158.1785660111,1074658.2762245699,1086682.5470806377,1081092.4781513885,1047176.7133041109,1038194.6766988632,1023346.9771919575,999556.8915337031,995880.9424556072,983412.1484877488,983131.8872475445,980582.3929612705,964593.645538899,901116.2582858508,906129.7928766551,867532.6909883311,865015.0276098907,0 days 07:30:00
15,61165.595797107635,83650.97638126851,171805.60301782753,251522.6197326022,360583.064859271,465015.9731870835,548369.4756070466,599633.0515037671,644681.6085863548,754553.0430642513,837072.5100926927,919851.3358629594,981724.5288071856,1073729.398748496,1119027.7794789248,1259406.2795697972,1159099.6201309548,1166547.3683118762,1146662.5879102426,1106367.8492639533,1095882.266812234,1080468.1762219698,1089902.0524140105,1098426.638368264,1099585.158923067,1096538.6502833292,1100351.9122913193,1126503.4980287724,1131243.0383046896,1111319.261776463,1119331.1854495984,1108443.7738356648,1113084.845841254,1117407.6033975708,1109696.1800533088,1090529.0486065412,1079696.7660619433,1053465.2145009122,1041516.4594095807,1027172.1784814133,1018908.5180309933,1011035.4996928589,1010652.0876831873,1009793.6573543266,955172.7029291586,969519.7378869297,936364.6669364924,928885.6963623551,0 days 08:00:00
16,64541.432113744064,83459.0093606656,172215.8006730457,258727.54158187573,330567.0002857383,445734.80224841647,508408.6492209862,581113.725017121,625345.6012356105,725371.4476338155,823719.245456822,914253.6662064668,959632.217450514,1040216.0641835855,1104549.764628745,1159099.6201309548,1220722.8700047857,1177804.262661152,1143698.9674232074,1111570.3129431615,1108541.4094938417,1103609.408714293,1109934.9122197926,1125935.336773987,1125825.4742038855,1119797.253478908,1124292.4821444904,1149802.0572160962,1155311.1596875035,1143263.3460704118,1140396.69753264,1123363.0845856534,1119352.1184035873,1121200.7579200768,1109089.2991632556,1081178.9288678973,1070667.4936890393,1063443.4346057284,1035684.5992273997,1037596.2780226143,1015023.6472684161,1017538.5849991011,1022419.627840174,1012719.7200404315,953243.9137110896,949634.216968917,922139.4463730021,920229.7102337981,0 days 08:30:00
17,64350.64829601291,85505.13632879235,173457.0794093316,266803.63856963546,363591.90821576427,475393.39622264646,528085.5589314384,597642.7820754074,637525.1121131906,734595.450961293,829517.061205111,922505.2270374494,980275.409721078,1058700.5511979137,1102625.8325941905,1166547.3683118762,1177804.262661152,1310663.8052660907,1233901.2559733575,1208030.988246332,1187378.0355444795,1178544.7743217861,1175222.2945031,1185975.3171171527,1186450.5281891902,1181288.223913583,1186187.8860540716,1196867.3183845438,1202466.485255346,1193068.3065822134,1203815.2952837083,1194497.2067234842,1178943.291645831,1179891.379627871,1169875.244395899,1140713.5579641876,1137518.1143492896,1122199.510351701,1096608.0384498914,1098086.079198847,1078004.4596928516,1072936.4618912821,1058421.793124746,1057023.0586177774,1020141.975406219,1030844.9915409229,987394.4678980376,987596.8248882137,0 days 09:00:00
18,59530.783639414316,83831.91601691255,169199.1414295096,260687.28282085626,349091.76753286505,477944.90581572335,543056.2077424271,602995.4129937011,642739.2705369818,748391.7846875526,826440.1335610719,914435.4955916189,972068.8308541389,1044988.5845395403,1081131.1527282253,1146662.5879102426,1143698.9674232074,1233901.2559733575,1276466.053044875,1212840.3473386138,1182103.3742329467,1167476.8556305945,1170675.0685758407,1181709.6210587064,1181233.130575708,1175925.6409966978,1180226.0392842446,1192371.176732951,1198288.4399390637,1183598.68768081,1190067.5389786765,1182016.0979272546,1173121.0548046047,1174014.692097886,1163252.6923663344,1135352.7913857964,1122713.0842346093,1112792.0119859402,1097952.2742037787,1084835.9283109745,1071224.6186444578,1062144.3819956193,1051125.664140493,1049099.8434867165,1009107.1520585563,1015671.3214186669,969651.9726691087,970842.6850763859,0 days 09:30:00
19,61506.06100018322,70746.7787788703,158987.97805780428,254995.33287571798,333906.16787145426,446092.03933996323,511248.0667473759,567061.894094036,598864.9204000757,710764.70710016,790660.7849604471,867190.534436359,938490.9499525104,1006316.5023661836,1055382.779570911,1106367.8492639533,1111570.3129431615,1208030.988246332,1212840.3473386138,1249321.968168979,1217057.8065755188,1201957.1109681213,1182150.931849306,1189564.1365117675,1195837.8125239857,1186698.2980826877,1188562.8305467134,1201650.5115621013,1207685.8537179825,1188111.9308532316,1197969.1460690715,1188185.9468128853,1174258.9292174461,1180602.965088685,1169094.9701304277,1147435.436877638,1137447.1206505317,1122865.9547460019,1108945.5496107966,1101015.5338497139,1084836.0470958925,1079894.954258777,1071436.4071573268,1066986.907944749,1035133.4776913684,1041180.3289334502,994314.9995718724,984200.1561426431,0 days 10:00:00
20,66884.22541160331,76330.10940660615,164509.83653365183,259913.19936623683,339142.2504095289,452121.9676899003,516830.97900111985,568027.3357220641,600228.1289504337,711161.9398500904,784582.7613021625,860187.8820564378,913710.6122794361,980958.6779098085,1040047.2974347274,1095882.266812234,1108541.4094938417,1187378.0355444795,1182103.3742329467,1217057.8065755188,1274592.6790890668,1248110.5892659125,1228120.9092052106,1227291.217828657,1232788.0250820613,1223544.6130752997,1225751.708734021,1239171.0287625135,1248452.0695627537,1225642.7300133042,1230860.5957496252,1215760.1982027204,1207743.1716600435,1204232.6309315066,1197156.1099444635,1177400.0601653405,1167386.3456768927,1147178.4431845136,1128917.0958506085,1122918.691727344,1106929.3300753299,1099765.99803245,1089433.0805242613,1086420.8450535461,1053019.3980357721,1055071.0293011626,1009851.7453415949,991896.5050557709,0 days 10:30:00
